USER_ID,ORDER_ID,PURCHASE_TS,SHIP_TS,REFUND_TS,PRODUCT_NAME,PRODUCT_ID,USD_PRICE,PURCHASE_PLATFORM,MARKETING_CHANNEL,ACCOUNT_CREATION_METHOD,COUNTRY_CODE,,
2c06175e,0001328c3c220830,12/24/2020,12/13/2020,,Nintendo Switch,e682,168,website,affiliate,unknown,US,,#NAME?
ee8e5bc2,0002af7a5c6100772,10/1/2020,9/21/2020,,Nintendo Switch,e682,160.61,website,direct,desktop,DE,,
9eb4efe0,0002b8350e167074,4/21/2020,2/16/2020,,Nintendo Switch,8d0d,151.2,website,direct,desktop,US,,
cac7cbaf,0006d06b98385729,4/7/2020,4/4/2020,4/28/2022,Sony PlayStation 5 Bundle,54ed,1132.82,website,direct,desktop,AU,,
6b0230bc,00097279a2f46150,11/24/2020,8/2/2020,,Nintendo Switch,8d0d,33.89,website,direct,desktop,TR,,
046e7528,000f169e17f4941,8/20/2020,8/9/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,PH,,
94dfec76,000fdd9bfe463101,5/11/2020,3/5/2020,,27in 4K gaming monitor,891b,390.59,website,direct,desktop,GB,,
8a328a1d,0010d31e3c058676,7/3/2020,4/3/2020,,27in 4K gaming monitor,891b,480,website,direct,desktop,BR,,
46c57b58,0013ac51a8831707,3/24/2019,10/29/2018,,JBL Quantum 100 Gaming Headset,ab0f,22.22,website,direct,desktop,BE,,
a2eaa1d1,001620ea42468912,11/1/2019,10/17/2019,,Nintendo Switch,e682,168,website,direct,desktop,US,,
c7c492f8,0016654fc8584512,12/9/2019,7/22/2019,,Nintendo Switch,8d0d,150.53,website,direct,desktop,FR,,
d71c06c6,00236994a0b90874,8/30/2019,6/29/2019,,Nintendo Switch,8d0d,146.25,website,direct,desktop,KR,,
9933b602,002a0b04dd764807,2/16/2020,12/8/2019,,Sony PlayStation 5 Bundle,54ed,1725.86,website,direct,desktop,US,,
bbbaa7ff,002f0b22bb379479,5/14/2020,3/24/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
68673786,003ed9bd3d71799,10/26/2020,6/1/2020,6/28/2025,Nintendo Switch,8d0d,134.41,website,direct,desktop,ES,,
1802f1a0,004602d9c2d12771,10/13/2020,8/30/2020,,Sony PlayStation 5 Bundle,54ed,1368.45,website,direct,desktop,AU,,
2abdb1d2,004d6bc82f820293,10/25/2020,8/1/2020,,27in 4K gaming monitor,e7e6,480,website,direct,desktop,US,,
deba2f70,004eca8109c94135,12/24/2019,9/11/2019,,Nintendo Switch,e682,168,website,direct,desktop,US,,
d9f8bd41,0053e1f565292085,5/20/2019,4/9/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
d37ef9f9,006116b394689293,12/23/2020,8/29/2020,,27in 4K gaming monitor,891b,312,website,direct,desktop,US,,
1962fd4e,00617fd9ac813297,3/23/2019,3/8/2019,,JBL Quantum 100 Gaming Headset,ab0f,19.2,website,direct,desktop,US,,
6ee318a8,0064a61f5e347824,12/6/2020,8/30/2020,,JBL Quantum 100 Gaming Headset,2997,24,mobile app,direct,desktop,US,,
0d688544,006b12955f18514,4/1/2020,11/29/2019,4/16/2022,27in 4K gaming monitor,891b,480,website,direct,desktop,UA,,
eb7713b2,006e82641e899478,9/6/2020,5/8/2020,,Nintendo Switch,8d0d,158.9,website,direct,desktop,AT,,
fbe55d88,006f6e37919106394,6/25/2020,6/10/2020,,JBL Quantum 100 Gaming Headset,ab0f,21.46,website,direct,desktop,FR,,
44b1b815,00740cb808130885,9/18/2020,4/24/2020,9/12/2022,Nintendo Switch,b5f7,113.84,mobile app,direct,desktop,IN,,
4f91bdc5,0076d16bf5a35309,5/7/2020,2/2/2020,,Nintendo Switch,8e5d,166.44,mobile app,email,mobile,AU,,
7aaa16c9,0077b0c58a652405,10/24/2020,9/20/2020,,27in 4K gaming monitor,891b,480,website,direct,desktop,US,,
fab63d82,0078e0a047f105931,6/15/2020,2/7/2020,,27in 4K gaming monitor,891b,391.4,website,direct,desktop,US,,
6967b8ad,007d7cc247b45508,12/23/2020,10/31/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
0548e915,007de4bffd25269,8/26/2019,8/8/2019,,Nintendo Switch,8d0d,149.42,website,direct,desktop,FR,,
08c6e99f,007ecf8f7136611,11/3/2019,10/13/2019,,27in 4K gaming monitor,891b,480,website,direct,desktop,US,,
9ac1cd5e,0080c27c2f965438,5/23/2019,2/14/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
57f26b8e,00812c6619a38526,6/11/2019,3/2/2019,,27in 4K gaming monitor,891b,357.14,website,direct,desktop,DE,,
1cd9f372,00847ae8fe214786,7/2/2020,6/17/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
3b36f3e4,0085ba4831e26979,8/10/2020,5/8/2020,,JBL Quantum 100 Gaming Headset,ab0f,25.67,website,direct,desktop,GB,,
f15289db,00871b8548a101993,5/16/2020,12/27/2019,,27in 4K gaming monitor,891b,480,website,direct,desktop,US,,
38e64dc5,00892ce0ebd26044,2/1/2020,10/16/2019,,27in 4K gaming monitor,891b,480,website,direct,desktop,BR,,
926c7df9,008a0fca3a862127,9/27/2019,9/21/2019,,JBL Quantum 100 Gaming Headset,ab0f,24.99,website,direct,desktop,IL,,
926c7df9,008a0fca3a862128,9/27/2019,8/25/2019,,JBL Quantum 100 Gaming Headset,ab0f,24.99,website,direct,desktop,IL,,
99af8f03,008eab8ad4a64990,9/15/2020,8/7/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
634fb356,0092f3f12b143001,6/4/2020,4/26/2020,,Nintendo Switch,8d0d,142.8,website,direct,desktop,US,,
e0154ee5,0097a73104894748,9/25/2020,8/15/2020,9/3/2022,Nintendo Switch,e682,168,website,direct,desktop,US,,
64a4a80c,009974bf84f43531,9/19/2020,6/29/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,BR,,
64a4a80c,009974bf84f43532,9/19/2020,6/18/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,BR,,
9d21a9e5,009e134dbfe66439,9/15/2019,7/8/2019,,Nintendo Switch,8d0d,168,website,direct,desktop,US,,
e57a0a97,00a42f4219d96941,4/20/2020,4/12/2020,,Nintendo Switch,8e5d,161.64,mobile app,email,mobile,FR,,
0e6f746e,00a699348aa8944,3/29/2020,2/12/2020,,JBL Quantum 100 Gaming Headset,ab0f,24.06,website,direct,desktop,GB,,
f9146908,00b512ca418105222,7/5/2020,4/4/2020,,Nintendo Switch,8d0d,129.63,website,direct,desktop,ES,,
09018b2b,00bc5a48b456724,5/5/2020,4/28/2020,,Nintendo Switch,8d0d,168,website,email,mobile,US,,
f0fbb10a,00bdb7840ac101863,12/13/2020,8/26/2020,2/26/2022,Nintendo Switch,e682,181.02,website,direct,desktop,GB,,
e89caee7,00bde52c76d98228,7/13/2020,6/26/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
9f46220f,00c862ab35d67337,10/12/2020,9/2/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,email,desktop,US,,
ac27bd8b,00cb82187c772953,12/18/2020,11/4/2020,12/8/2025,Nintendo Switch,8d0d,149.36,website,direct,desktop,PL,,
ac27bd8b,00cb82187c772955,12/18/2020,10/30/2020,,Nintendo Switch,8d0d,149.36,website,direct,desktop,PL,,
39537b46,00d48fb840f26192,3/31/2019,3/6/2019,,Sony PlayStation 5 Bundle,54ed,1280.13,website,direct,desktop,DK,,
d3bc266b,00d9d5c0cb989399,11/23/2019,10/11/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,email,mobile,US,,
d3bc266b,00d9d5c0cb989400,11/23/2019,9/5/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,email,mobile,US,,
ac4a35e7,00d9ddde0f472990,4/24/2020,3/27/2020,,27in 4K gaming monitor,891b,480,website,direct,desktop,US,,
d9c07c28,00de368919c91978,9/23/2020,5/5/2020,,JBL Quantum 100 Gaming Headset,8315,23.26,mobile app,direct,desktop,US,,
d3fa4c85,00df5117a6889483,11/20/2020,10/21/2020,9/19/2025,27in 4K gaming monitor,e7e6,439.2,website,direct,desktop,FR,,
a51faa7f,00e08d40d7469918,7/9/2020,4/27/2020,,Nintendo Switch,e682,168,website,direct,desktop,AR,,
8f9aed61,00ec0cc704660970,6/5/2019,6/4/2019,,Nintendo Switch,8d0d,134.7,website,direct,desktop,CH,,
1ce8cd34,00ed094f87014811,8/25/2020,5/21/2020,,Nintendo Switch,e682,168,website,direct,desktop,US,,
decd0261,00ee5ee189c94165,4/29/2020,2/17/2020,,Nintendo Switch,8d0d,129.27,website,direct,desktop,AU,,
4db5dd8c,00f15ae835b34521,2/20/2020,12/5/2019,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,US,,
8b195040,00f26815f6b59102,8/9/2020,4/14/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,social media,tablet,US,,
0f7782c4,00f6e1447189376,9/21/2020,6/26/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,CL,,
1af9c7de,00f7a74196313980,7/16/2019,5/30/2019,,27in 4K gaming monitor,891b,480,website,direct,desktop,US,,
d8844c3d,00f7ede0e9591467,4/28/2020,2/11/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,RO,,
d89ecd98,00fb616915f91518,8/7/2020,5/7/2020,,Nintendo Switch,8d0d,168,website,direct,desktop,VN,,
771f93ec,00fc0753e6f51019,12/27/2020,9/17/2020,,JBL Quantum 100 Gaming Headset,ab0f,24,website,direct,desktop,JM,,
6c25c271,00fe3d4867f46669,8/18/2020,6/25/2020,,Nintendo Switch,e682,147.59,website,direct,desktop,KR,,
